county,year,population,pct_pop_change,avg_commute_mins,pct_comm_change
Anderson,2018,76287,0.30372357210477485,24.6,-5.384615384615376
Anderson,2017,76056,0.699078487448368,26,16.59192825112108
Anderson,2016,75528,0.0954198473282375,22.3,-5.907172995780585
Anderson,2015,75456,0.3978338677701254,23.7,9.216589861751157
Anderson,2014,75157,-0.18858152166695286,21.7,-4.405286343612335
Anderson,2013,75299,0.0983715520106454,22.7,2.2522522522522515
Anderson,2012,75225,0.021274049648312143,22.2,4.225352112676051
Anderson,2011,75209,0.14780686569548784,21.3,-17.76061776061776
Anderson,2010,75098,NA,25.9,NA
Bedford,2018,49146,1.9393914251934152,NA,NA
Bedford,2017,48211,1.620926605117834,NA,NA
Bedford,2016,47442,1.0522279969327863,NA,NA
Bedford,2015,46948,1.5069944433633964,NA,NA
Bedford,2014,46251,1.5055415340722078,NA,NA
Bedford,2013,45565,0.6872320678835031,NA,NA
Bedford,2012,45254,0.015470638937387093,NA,NA
Bedford,2011,45247,0.3749057189760041,NA,NA
Bedford,2010,45078,NA,NA,NA
Benton,2018,16246,1.5819420996685984,NA,NA
Benton,2017,15993,-0.5534137545081474,NA,NA
Benton,2016,16082,-0.8508014796547503,NA,NA
Benton,2015,16220,0.14200160523554217,NA,NA
Benton,2014,16197,-0.9963325183374061,NA,NA
Benton,2013,16360,-0.5168744299179129,NA,NA
Benton,2012,16445,-0.5081977131102922,NA,NA
Benton,2011,16529,0.10901823027071877,NA,NA
Benton,2010,16511,NA,NA,NA
Bledsoe,2018,14883,-0.08056394763343855,NA,NA
Bledsoe,2017,14895,1.065273442800918,NA,NA
Bledsoe,2016,14738,0.9382918978152244,NA,NA
Bledsoe,2015,14601,0.6896076132680395,NA,NA
Bledsoe,2014,14501,4.248741912293319,NA,NA
Bledsoe,2013,13910,7.612563824849139,NA,NA
Bledsoe,2012,12926,-0.5080049261083741,NA,NA
Bledsoe,2011,12992,0.8382489909965818,NA,NA
Bledsoe,2010,12884,NA,NA,NA
Blount,2018,131331,1.0246232663328136,23.9,-8.429118773946376
Blount,2017,129999,1.3526788498721354,26.1,6.0975609756097615
Blount,2016,128264,1.0318698111126956,24.6,0.40816326530612734
Blount,2015,126954,0.8796395623256847,24.5,1.2396694214876103
Blount,2014,125847,0.7791854189022507,24.2,-0.4115226337448652
Blount,2013,124874,0.685351222344055,24.3,0.4132231404958775
Blount,2012,124024,0.29111139862854074,24.2,2.5423728813559254
Blount,2011,123664,0.37743812855624004,23.6,-5.976095617529875
Blount,2010,123199,NA,25.1,NA
Bradley,2018,107050,1.5452329232316098,21.9,2.8169014084507005
Bradley,2017,105421,0.9876424944918138,21.3,0
Bradley,2016,104390,0.5935976256094877,21.3,5.970149253731338
Bradley,2015,103774,0.9759562522501541,20.1,-9.459459459459453
Bradley,2014,102771,0.975652891587564,22.2,-0.4484304932735439
Bradley,2013,101778,0.7214321764688503,22.3,4.20560747663552
Bradley,2012,101049,1.2535321349125272,21.4,-5.3097345132743445
Bradley,2011,99798,0.7216172299990831,22.6,10.784313725490202
Bradley,2010,99083,NA,20.4,NA
Campbell,2018,39795,0.010052524440196109,NA,NA
Campbell,2017,39791,0.01759501307057043,NA,NA
Campbell,2016,39784,0.030171980287629907,NA,NA
Campbell,2015,39772,-0.3033113578823299,NA,NA
Campbell,2014,39893,-0.8795686635028721,NA,NA
Campbell,2013,40247,-0.7031481298726883,NA,NA
Campbell,2012,40532,-0.38340542666142063,NA,NA
Campbell,2011,40688,-0.11537989443967112,NA,NA
Campbell,2010,40735,NA,NA,NA
Cannon,2018,14440,1.9990110899201774,NA,NA
Cannon,2017,14157,2.0250792735658774,NA,NA
Cannon,2016,13876,0.9898107714701565,NA,NA
Cannon,2015,13740,1.2378426171529622,NA,NA
Cannon,2014,13572,-0.9343065693430685,NA,NA
Cannon,2013,13700,-0.6454420190006527,NA,NA
Cannon,2012,13789,0.4736228504809148,NA,NA
Cannon,2011,13724,-0.5291005291005346,NA,NA
Cannon,2010,13797,NA,NA,NA
Carroll,2018,27975,0.6041644190311724,NA,NA
Carroll,2017,27807,-0.3369054872585209,NA,NA
Carroll,2016,27901,-0.2894718033021215,NA,NA
Carroll,2015,27982,-1.5099785294428236,NA,NA
Carroll,2014,28411,-0.681675173040619,NA,NA
Carroll,2013,28606,-0.21278822339274583,NA,NA
Carroll,2012,28667,0.42035940729323595,NA,NA
Carroll,2011,28547,0.32684332607015865,NA,NA
Carroll,2010,28454,NA,NA,NA
Carter,2018,56417,-0.16457264201026334,NA,NA
Carter,2017,56510,0.06551803516725574,NA,NA
Carter,2016,56473,0.1738359201773898,NA,NA
Carter,2015,56375,0.08877052818463405,NA,NA
Carter,2014,56325,-1.1460563726350514,NA,NA
Carter,2013,56978,-0.6434512703367257,NA,NA
Carter,2012,57347,-0.06621939531236132,NA,NA
Carter,2011,57385,0.07498866450419417,NA,NA
Carter,2010,57342,NA,NA,NA
Cheatham,2018,40502,0.33691720755091303,NA,NA
Cheatham,2017,40366,1.4858579509742231,NA,NA
Cheatham,2016,39775,0.45967721566944064,NA,NA
Cheatham,2015,39593,-0.042918454935625405,NA,NA
Cheatham,2014,39610,0.686324351804779,NA,NA
Cheatham,2013,39340,0.27784150289311693,NA,NA
Cheatham,2012,39231,0.6284307187195415,NA,NA
Cheatham,2011,38986,-0.3705502031637331,NA,NA
Cheatham,2010,39131,NA,NA,NA
Chester,2018,17245,0.5304885157980666,NA,NA
Chester,2017,17154,0.14010507880910517,NA,NA
Chester,2016,17130,0.04088068679553025,NA,NA
Chester,2015,17123,-0.075863678804855,NA,NA
Chester,2014,17136,0.11684973124561626,NA,NA
Chester,2013,17116,0.23424689622861816,NA,NA
