cnty_cd,county,lat,long,geometry,year,population,pct_pop_change,avg_commute_mins,pct_comm_change,traffic_growth_rate
001,Anderson,36.0809574,-84.2278796,"list(c(-84.441034, -84.403633, -84.372731, -84.241825, -84.227527, -84.069918, -84.032519, -84.004317, -83.998745, -83.941711, -84.094011, -84.058585, -84.195151, -84.272869, -84.271587, -84.32006, -84.341812, -84.449734, -84.441034, 36.163478, 36.174778, 36.216778, 36.177578, 36.244879, 36.230378, 36.301779, 36.270378, 36.25237, 36.186378, 36.068911, 36.036304, 35.993008, 35.940506, 35.910165, 35.991607, 36.048977, 36.141677, 36.163478))",2018-01-01,76287,0.30372357210477485,24.6,-5.384615384615376,-1.4356901137791578
001,Anderson,36.0809574,-84.2278796,"list(c(-84.441034, -84.403633, -84.372731, -84.241825, -84.227527, -84.069918, -84.032519, -84.004317, -83.998745, -83.941711, -84.094011, -84.058585, -84.195151, -84.272869, -84.271587, -84.32006, -84.341812, -84.449734, -84.441034, 36.163478, 36.174778, 36.216778, 36.177578, 36.244879, 36.230378, 36.301779, 36.270378, 36.25237, 36.186378, 36.068911, 36.036304, 35.993008, 35.940506, 35.910165, 35.991607, 36.048977, 36.141677, 36.163478))",2017-01-01,76056,0.699078487448368,26,16.59192825112108,1.8612219468754811
001,Anderson,36.0809574,-84.2278796,"list(c(-84.441034, -84.403633, -84.372731, -84.241825, -84.227527, -84.069918, -84.032519, -84.004317, -83.998745, -83.941711, -84.094011, -84.058585, -84.195151, -84.272869, -84.271587, -84.32006, -84.341812, -84.449734, -84.441034, 36.163478, 36.174778, 36.216778, 36.177578, 36.244879, 36.230378, 36.301779, 36.270378, 36.25237, 36.186378, 36.068911, 36.036304, 35.993008, 35.940506, 35.910165, 35.991607, 36.048977, 36.141677, 36.163478))",2016-01-01,75528,0.0954198473282375,22.3,-5.907172995780585,2.886446023546118
001,Anderson,36.0809574,-84.2278796,"list(c(-84.441034, -84.403633, -84.372731, -84.241825, -84.227527, -84.069918, -84.032519, -84.004317, -83.998745, -83.941711, -84.094011, -84.058585, -84.195151, -84.272869, -84.271587, -84.32006, -84.341812, -84.449734, -84.441034, 36.163478, 36.174778, 36.216778, 36.177578, 36.244879, 36.230378, 36.301779, 36.270378, 36.25237, 36.186378, 36.068911, 36.036304, 35.993008, 35.940506, 35.910165, 35.991607, 36.048977, 36.141677, 36.163478))",2015-01-01,75456,0.3978338677701254,23.7,9.216589861751157,3.6626039295322292
001,Anderson,36.0809574,-84.2278796,"list(c(-84.441034, -84.403633, -84.372731, -84.241825, -84.227527, -84.069918, -84.032519, -84.004317, -83.998745, -83.941711, -84.094011, -84.058585, -84.195151, -84.272869, -84.271587, -84.32006, -84.341812, -84.449734, -84.441034, 36.163478, 36.174778, 36.216778, 36.177578, 36.244879, 36.230378, 36.301779, 36.270378, 36.25237, 36.186378, 36.068911, 36.036304, 35.993008, 35.940506, 35.910165, 35.991607, 36.048977, 36.141677, 36.163478))",2014-01-01,75157,-0.18858152166695286,21.7,-4.405286343612335,2.6371206540557304
001,Anderson,36.0809574,-84.2278796,"list(c(-84.441034, -84.403633, -84.372731, -84.241825, -84.227527, -84.069918, -84.032519, -84.004317, -83.998745, -83.941711, -84.094011, -84.058585, -84.195151, -84.272869, -84.271587, -84.32006, -84.341812, -84.449734, -84.441034, 36.163478, 36.174778, 36.216778, 36.177578, 36.244879, 36.230378, 36.301779, 36.270378, 36.25237, 36.186378, 36.068911, 36.036304, 35.993008, 35.940506, 35.910165, 35.991607, 36.048977, 36.141677, 36.163478))",2013-01-01,75299,0.0983715520106454,22.7,2.2522522522522515,-0.8346915696870388
001,Anderson,36.0809574,-84.2278796,"list(c(-84.441034, -84.403633, -84.372731, -84.241825, -84.227527, -84.069918, -84.032519, -84.004317, -83.998745, -83.941711, -84.094011, -84.058585, -84.195151, -84.272869, -84.271587, -84.32006, -84.341812, -84.449734, -84.441034, 36.163478, 36.174778, 36.216778, 36.177578, 36.244879, 36.230378, 36.301779, 36.270378, 36.25237, 36.186378, 36.068911, 36.036304, 35.993008, 35.940506, 35.910165, 35.991607, 36.048977, 36.141677, 36.163478))",2012-01-01,75225,0.021274049648312143,22.2,4.225352112676051,-0.7650351039936834
001,Anderson,36.0809574,-84.2278796,"list(c(-84.441034, -84.403633, -84.372731, -84.241825, -84.227527, -84.069918, -84.032519, -84.004317, -83.998745, -83.941711, -84.094011, -84.058585, -84.195151, -84.272869, -84.271587, -84.32006, -84.341812, -84.449734, -84.441034, 36.163478, 36.174778, 36.216778, 36.177578, 36.244879, 36.230378, 36.301779, 36.270378, 36.25237, 36.186378, 36.068911, 36.036304, 35.993008, 35.940506, 35.910165, 35.991607, 36.048977, 36.141677, 36.163478))",2011-01-01,75209,0.14780686569548784,21.3,-17.76061776061776,1.3070002172665804
001,Anderson,36.0809574,-84.2278796,"list(c(-84.441034, -84.403633, -84.372731, -84.241825, -84.227527, -84.069918, -84.032519, -84.004317, -83.998745, -83.941711, -84.094011, -84.058585, -84.195151, -84.272869, -84.271587, -84.32006, -84.341812, -84.449734, -84.441034, 36.163478, 36.174778, 36.216778, 36.177578, 36.244879, 36.230378, 36.301779, 36.270378, 36.25237, 36.186378, 36.068911, 36.036304, 35.993008, 35.940506, 35.910165, 35.991607, 36.048977, 36.141677, 36.163478))",2010-01-01,75098,NA,25.9,NA,-0.19762820345377624
003,Bedford,35.4702472,-86.4592091,"list(c(-86.639436, -86.543116, -86.402726, -86.34194, -86.245165, -86.234575, -86.25759, -86.422338, -86.525306, -86.599478, -86.618572, -86.664164, -86.639436, 35.6859, 35.697617, 35.618571, 35.664259, 35.631913, 35.45276, 35.412476, 35.318846, 35.354718, 35.36495, 35.367401, 35.491771, 35.6859))",2018-01-01,49146,1.9393914251934152,NA,NA,3.955993219104094
