county_code,county,lat,long,geometry
001,Anderson,36.0809574,-84.2278796,"list(list(c(-84.441034, -84.403633, -84.372731, -84.241825, -84.227527, -84.069918, -84.032519, -84.004317, -83.998745, -83.941711, -84.094011, -84.058585, -84.195151, -84.272869, -84.271587, -84.32006, -84.341812, -84.449734, -84.441034, 36.163478, 36.174778, 36.216778, 36.177578, 36.244879, 36.230378, 36.301779, 36.270378, 36.25237, 36.186378, 36.068911, 36.036304, 35.993008, 35.940506, 35.910165, 35.991607, 36.048977, 36.141677, 36.163478)))"
003,Bedford,35.4702472,-86.4592091,"list(list(c(-86.639436, -86.543116, -86.402726, -86.34194, -86.245165, -86.234575, -86.25759, -86.422338, -86.525306, -86.599478, -86.618572, -86.664164, -86.639436, 35.6859, 35.697617, 35.618571, 35.664259, 35.631913, 35.45276, 35.412476, 35.318846, 35.354718, 35.36495, 35.367401, 35.491771, 35.6859)))"
005,Benton,36.1170244,-88.050979,"list(list(c(-88.212559, -88.085228, -88.087082, -88.09167, -88.092526, -88.088851, -88.09371, -88.090782, -88.10266, -88.092269, -88.095868, -88.031779, -87.99092, -87.98074, -87.944295, -87.949603, -87.919043, -88.02239, -87.925835, -87.96274, -87.970738, -88.051635, -88.177859, -88.217436, -88.212559, 36.12029, 36.254549, 36.267898, 36.275198, 36.281033, 36.288556, 36.293028, 36.29485, 36.310933, 36.340315, 36.359265, 36.359809, 36.360133, 36.353307, 36.264177, 36.24316, 36.130049, 35.965818, 35.930432, 
35.840921, 35.815705, 35.849918, 35.845841, 35.846582, 36.12029)))"
007,Bledsoe,35.6028856,-85.2308414,"list(list(c(-85.423804, -85.265387, -85.254062, -84.928536, -84.916062, -85.107762, -85.146393, -85.135191, -85.168302, -85.225877, -85.403298, -85.436147, -85.423804, 35.567422, 35.721237, 35.765611, 35.768549, 35.761939, 35.571359, 35.491299, 35.458649, 35.455614, 35.354276, 35.49228, 35.541365, 35.567422)))"
009,Blount,35.6710541,-83.8473015,"list(list(c(-84.134468, -84.172812, -84.166267, -84.144301, -84.145659, -84.016481, -83.994677, -83.850155, -83.794275, -83.70525, -83.662814, -83.6629119015893, -83.771736, -83.848502, -83.916801, -83.9532313801504, -83.9589178345639, -83.93854, -83.993815, -84.081561, -84.188319, -84.134468, 35.647399, 35.712756, 35.805106, 35.795763, 35.849586, 35.839498, 35.883749, 35.842019, 35.887125, 35.71158, 35.690618, 35.5677997932083, 35.562118, 35.519259, 35.473612, 35.4600208895767, 35.4578994395799, 
35.487773, 35.550001, 35.541231, 35.610549, 35.647399)))"
011,Bradley,35.1937778,-84.8567932,"list(list(c(-85.026643, -84.946339, -84.879507, -84.860164, -84.72314, -84.744441, -84.697838, -84.703607, -84.699937, -84.7758376712973, -84.8104774668864, -84.861314, -84.9769738065923, -84.961146, -85.008478, -85.026643, 35.136171, 35.287717, 35.353231, 35.350074, 35.285471, 35.264223, 35.253173, 35.241043, 35.170974, 34.9879372061493, 34.9878779552292, 34.987791, 34.9872198373549, 35.015175, 35.09269, 35.136171)))"
013,Campbell,36.3817326,-84.1857115,"list(list(c(-84.329927, -84.349939, -84.330434, -84.266877, -84.251132, -84.2613212015047, -84.227332, -84.2271939619983, -83.987842, -83.9876109506828, -83.984634, -83.95696, -83.943139, -83.922618, -83.905638, -83.921217, -83.954908, -83.981016, -84.004317, -84.032519, -84.069918, -84.227527, -84.241825, -84.372731, -84.329927, 36.285086, 36.466292, 36.50948, 36.511698, 36.53418, 36.592741697267, 36.592181, 36.5921795123551, 36.5896, 36.5895922860725, 36.560482, 36.501555, 36.473564, 36.427779, 
36.419979, 36.387879, 36.387623, 36.284978, 36.270378, 36.301779, 36.230378, 36.244879, 36.177578, 36.216778, 36.285086)))"
015,Cannon,35.8070317,-86.0529604,"list(list(c(-86.141766, -86.153214, -86.090502, -86.014849, -85.88921, -85.885156, -85.997426, -85.985062, -86.08889, -86.207147, -86.141766, 35.914374, 35.954399, 35.974451, 35.96106, 35.857543, 35.839658, 35.711955, 35.660108, 35.646823, 35.70379, 35.914374)))"
017,Carroll,35.9917193,-88.4016041,"list(list(c(-88.692709, -88.655488, -88.532233, -88.530322, -88.211698, -88.212559, -88.217436, -88.177859, -88.179177, -88.56955, -88.606862, -88.706811, -88.692709, 36.062746, 36.117338, 36.115416, 36.152023, 36.145974, 36.12029, 35.846582, 35.845841, 35.816785, 35.824451, 35.789354, 35.791075, 36.062746)))"
019,Carter,36.2638604,-82.12784,"list(list(c(-82.299968, -82.299859, -82.188653, -81.983843, -82.058946, -81.9343692444926, -81.960101, -82.02874, -82.080143, -82.0811489171324, -82.127146, -82.140847, -82.211251, -82.2202530102866, -82.284691, -82.34046, -82.299968, 36.37114, 36.396505, 36.400408, 36.508314, 36.367515, 36.2647162043798, 36.228131, 36.124322, 36.10572, 36.1056921143326, 36.104417, 36.136216, 36.159012, 36.1538200398431, 36.251686, 36.252807, 36.37114)))"
